tipo_celular,module_size,RSBN1L_MM,RSBN1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.114,19.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,393,0.103,15.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1141,0.125,40.0,166,2,1.2,0.86 (0.24-1.48),164,98.8,3.43 (3.18-3.68)
oligodendrocyte progenitor cells 7,628,0.125,20.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,703,0.214,67.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,1316,0.14,65.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,109,0.23,53.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,200,0.089,5.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,385,0.097,43.0,275,6,2.18,0.55 (0.29-0.81),269,97.82,4.06 (3.81-4.32)
oligodendrocytes 20,938,0.029,4.0,169,0,0.0,NA,169,100.0,3.48 (3.26-3.70)
GABA like neurons 14,2402,0.186,37.0,455,6,1.32,0.55 (0.29-0.81),449,98.68,4.41 (4.23-4.59)
astrocytes 8,283,0.15,57.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049,0.103,56.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,2107,0.156,54.0,358,6,1.68,0.55 (0.29-0.81),352,98.32,3.94 (3.75-4.12)
connective tissue cells 21,88,0.204,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.127,82.0,105,1,0.95,1.18 (NA-NA),104,99.05,3.23 (2.90-3.57)
oligodendrocytes 16,151,0.162,30.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,448,0.077,20.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,83,0.246,15.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.148,44.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.155,61.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615,0.099,33.0,161,6,3.73,0.55 (0.29-0.81),155,96.27,3.40 (3.14-3.66)
oligodendrocytes 3,681,0.074,30.0,87,3,3.45,0.75 (0.33-1.17),84,96.55,2.65 (2.38-2.92)
oligodendrocytes 2,921,0.141,57.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
