tipo_celular,module_size,VPS37B_MM,VPS37B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.19,53.0,102,22,21.57,2.89 (2.22-3.55),80,78.43,3.68 (3.26-4.10)
T cells 18,518.0,0.344,100.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35)
astrocytes 5,423.0,0.118,27.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.152,41.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.273,84.0,141,8,5.67,2.77 (1.76-3.77),133,94.33,2.97 (2.73-3.22)
oligodendrocytes 20,330.0,0.05,11.0,36,2,5.56,2.44 (-0.37-5.25),34,94.44,1.89 (1.54-2.23)
GABA like neurons 14,3052.0,0.125,38.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,577.0,0.107,64.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.22,75.0,358,51,14.25,2.83 (2.36-3.30),307,85.75,4.11 (3.91-4.30)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.111,72.0,105,29,27.62,2.96 (2.32-3.59),76,72.38,3.32 (2.93-3.71)
oligodendrocytes 16,75.0,0.129,17.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.292,35.0,120,24,20.0,2.38 (1.76-2.99),96,80.0,3.93 (3.62-4.24)
astrocytes 4,514.0,0.203,60.0,95,3,3.16,1.96 (-0.26-4.19),92,96.84,3.43 (3.00-3.86)
oligodendrocytes 0,479.0,0.126,28.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,480.0,0.223,64.0,163,1,0.61,4.23 (NA-NA),162,99.39,3.70 (3.44-3.97)
oligodendrocytes 3,639.0,0.092,47.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,804.0,0.181,78.0,84,14,16.67,2.50 (1.75-3.25),70,83.33,2.74 (2.36-3.12)
