tipo_celular,module_size,LRRC1_MM,LRRC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.157,82.0,166,0,0.0,NA,166,100.0,3.39 (3.14-3.64)
oligodendrocyte progenitor cells 7,229.0,0.196,52.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.292,80.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.371,90.0,91,3,3.3,1.58 (-0.37-3.52),88,96.7,4.67 (4.16-5.19)
da like neurons 11,408.0,0.211,58.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.183,43.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.213,44.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.169,75.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.196,67.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.266,85.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,130.0,0.668,100.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,85.0,0.375,80.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,338.0,0.138,41.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,153.0,0.27,24.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.257,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.151,31.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,613.0,0.18,80.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.241,99.0,87,1,1.15,3.52 (NA-NA),86,98.85,2.57 (2.30-2.84)
oligodendrocytes 2,921.0,0.202,99.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
