tipo_celular,module_size,ATP5F1C_MM,ATP5F1C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.183,58.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,727,0.141,47.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,932,0.12,66.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285,0.142,60.0,353,25,7.08,1.47 (1.11-1.82),328,92.92,4.13 (3.96-4.31)
GABA neurons expressing GLU receptors 22,487,0.193,42.0,73,2,2.74,1.44 (1.20-1.67),71,97.26,2.80 (2.41-3.19)
GLU like neurons 17,1316,0.155,76.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43)
da like neurons 11,82,0.174,29.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,90,0.251,95.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,916,0.086,11.0,302,49,16.23,3.50 (3.23-3.77),253,83.77,4.11 (3.84-4.39)
oligodendrocytes 20,279,0.183,42.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.282,62.0,455,68,14.95,3.00 (2.68-3.33),387,85.05,4.65 (4.46-4.85)
astrocytes 8,1266,0.084,53.0,66,9,13.64,1.10 (0.50-1.70),57,86.36,3.62 (3.23-4.02)
oligodendrocyte progenitor cells 12,708,0.147,63.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,735,0.08,38.0,277,23,8.3,3.88 (3.77-3.99),254,91.7,3.90 (3.63-4.16)
connective tissue cells 21,103,0.303,64.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768,0.048,12.0,105,16,15.24,1.65 (1.24-2.06),89,84.76,3.50 (3.14-3.85)
oligodendrocytes 16,82,0.11,3.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.191,77.0,235,43,18.3,3.35 (3.07-3.63),192,81.7,4.19 (3.88-4.51)
astrocytes microglia 23,109,0.258,14.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.168,79.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.104,29.0,238,4,1.68,1.82 (0.56-3.08),234,98.32,3.67 (3.45-3.89)
microglia 1,1615,0.086,16.0,161,21,13.04,1.26 (0.93-1.59),140,86.96,3.65 (3.40-3.91)
oligodendrocytes 3,854,0.027,0.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630,0.136,37.0,154,3,1.95,2.35 (1.58-3.12),151,98.05,3.27 (3.00-3.53)
