tipo_celular,module_size,LRRFIP1_MM,LRRFIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.19,56.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,610.0,0.251,96.0,98,19,19.39,1.51 (1.08-1.93),79,80.61,3.56 (3.25-3.88)
astrocytes 5,322.0,0.103,11.0,58,5,8.62,2.24 (0.86-3.62),53,91.38,4.30 (3.88-4.72)
oligodendrocyte progenitor cells 7,448.0,0.094,15.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,823.0,0.072,3.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1247.0,0.117,36.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,59.0,0.248,49.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,101.0,0.19,72.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,412.0,0.254,78.0,141,8,5.67,1.99 (1.35-2.64),133,94.33,3.03 (2.78-3.27)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.265,76.0,306,13,4.25,2.08 (1.37-2.80),293,95.75,5.28 (5.02-5.53)
astrocytes 8,262.0,0.04,4.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,138.0,0.506,73.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.346,82.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1401.0,0.068,33.0,96,6,6.25,2.59 (1.46-3.73),90,93.75,3.68 (3.21-4.15)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.059,3.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,89.0,0.249,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.149,45.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.193,52.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
