tipo_celular,module_size,GABBR1_MM,GABBR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.157,93.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,4,1.13,0.87 (0.13-1.61),349,98.87,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,848.0,0.278,71.0,262,8,3.05,3.31 (1.78-4.83),254,96.95,4.20 (3.95-4.44)
GLU like neurons 17,1316.0,0.119,46.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.141,34.0,410,3,0.73,1.32 (0.04-2.59),407,99.27,4.28 (4.09-4.46)
GABA neurons expressing GABA receptors 13,265.0,0.13,35.0,78,3,3.85,4.80 (4.36-5.24),75,96.15,4.34 (3.90-4.77)
endothelial cells 9,586.0,0.267,62.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.225,49.0,455,2,0.44,0.67 (0.43-0.90),453,99.56,4.36 (4.18-4.55)
astrocytes 8,262.0,0.211,81.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.092,67.0,276,5,1.81,1.04 (0.57-1.51),271,98.19,3.60 (3.39-3.82)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.225,20.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,367.0,0.111,30.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.128,74.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,122.0,0.285,47.0,46,4,8.7,4.73 (4.17-5.30),42,91.3,5.06 (4.45-5.68)
astrocytes 4,251.0,0.243,89.0,34,4,11.76,3.31 (2.27-4.34),30,88.24,5.62 (5.03-6.21)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
