tipo_celular,module_size,TRIM62_MM,TRIM62_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,50,14.16,2.36 (1.99-2.74),303,85.84,4.18 (3.99-4.36)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.22,63.0,28,8,28.57,2.68 (2.06-3.30),20,71.43,2.01 (1.44-2.58)
GABA like neurons 14,2090.0,0.096,12.0,74,15,20.27,2.45 (1.96-2.94),59,79.73,3.08 (2.62-3.53)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,47,17.03,2.36 (1.98-2.74),229,82.97,3.81 (3.58-4.05)
oligodendrocytes 10,1277.0,0.096,42.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.258,32.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.253,69.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.473,100.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.132,85.0,238,24,10.08,3.03 (2.45-3.62),214,89.92,3.70 (3.46-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.081,38.0,15,5,33.33,1.93 (0.82-3.03),10,66.67,4.18 (2.26-6.10)
oligodendrocytes 2,1630.0,0.137,39.0,154,1,0.65,8.28 (NA-NA),153,99.35,3.21 (2.95-3.46)
