tipo_celular,module_size,NDUFA8_MM,NDUFA8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,400.0,0.178,37.0,24,12,50.0,1.30 (0.82-1.79),12,50.0,3.01 (2.42-3.59)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.19,53.0,410,78,19.02,3.80 (3.54-4.07),332,80.98,4.39 (4.16-4.62)
GABA neurons expressing GABA receptors 13,90.0,0.193,74.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,916.0,0.242,60.0,302,68,22.52,3.92 (3.60-4.24),234,77.48,4.00 (3.71-4.29)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.5,88.0,455,84,18.46,3.48 (3.15-3.82),371,81.54,4.62 (4.40-4.83)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.194,70.0,182,25,13.74,4.33 (3.63-5.02),157,86.26,3.51 (3.25-3.78)
astrocytes microglia 23,114.0,0.285,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
