tipo_celular,module_size,INTS7_MM,INTS7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.164,54.0,97,1,1.03,2.27 (NA-NA),96,98.97,3.07 (2.67-3.46)
T cells 18,624.0,0.114,21.0,142,4,2.82,3.18 (2.97-3.39),138,97.18,3.21 (2.93-3.49)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.17,94.0,353,55,15.58,2.03 (1.73-2.32),298,84.42,4.34 (4.17-4.52)
GABA neurons expressing GLU receptors 22,714.0,0.081,4.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1316.0,0.082,13.0,101,4,3.96,4.75 (2.49-7.00),97,96.04,2.96 (2.62-3.30)
da like neurons 11,101.0,0.241,52.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.087,18.0,297,12,4.04,3.44 (2.98-3.91),285,95.96,3.68 (3.47-3.90)
oligodendrocytes 20,938.0,0.157,65.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,3052.0,0.135,47.0,125,4,3.2,4.89 (3.01-6.77),121,96.8,3.29 (2.96-3.61)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,43,15.58,2.15 (1.84-2.47),233,84.42,3.90 (3.67-4.13)
oligodendrocytes 10,2107.0,0.093,25.0,358,66,18.44,2.21 (1.89-2.54),292,81.56,4.38 (4.19-4.56)
connective tissue cells 21,90.0,0.44,98.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,112.0,0.121,9.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.4,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.128,78.0,238,17,7.14,3.14 (2.47-3.81),221,92.86,3.68 (3.45-3.91)
microglia 1,813.0,0.117,51.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.099,55.0,87,44,50.57,2.00 (1.73-2.27),43,49.43,3.26 (2.86-3.66)
oligodendrocytes 2,921.0,0.118,21.0,200,5,2.5,2.50 (1.72-3.27),195,97.5,3.65 (3.38-3.92)
