tipo_celular,module_size,NUCB2_MM,NUCB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.087,3.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.15,94.0,136,3,2.21,2.03 (0.77-3.30),133,97.79,3.24 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,16,4.53,1.75 (0.92-2.58),337,95.47,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.184,64.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.06,5.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,120.0,0.067,6.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.156,49.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.123,28.0,74,1,1.35,2.33 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.044,16.0,89,2,2.25,1.39 (1.08-1.71),87,97.75,2.80 (2.45-3.16)
oligodendrocyte progenitor cells 12,1049.0,0.054,19.0,235,9,3.83,3.17 (1.87-4.48),226,96.17,3.84 (3.60-4.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,96.0,0.306,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.047,12.0,105,6,5.71,1.29 (0.65-1.92),99,94.29,3.34 (3.00-3.68)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.333,61.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.144,49.0,104,8,7.69,1.34 (0.54-2.13),96,92.31,2.98 (2.70-3.26)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
