tipo_celular,module_size,TTI1_MM,TTI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.252,75.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.111,53.0,80,1,1.25,NA,79,98.75,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.16,86.0,353,23,6.52,1.90 (1.34-2.47),330,93.48,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,1069.0,0.246,92.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,71.0,0.099,23.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.415,93.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.091,13.0,125,1,0.8,3.04 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,140.0,0.051,18.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.083,57.0,276,10,3.62,1.69 (1.12-2.26),266,96.38,3.63 (3.41-3.85)
oligodendrocytes 10,2107.0,0.078,16.0,358,34,9.5,2.28 (1.73-2.84),324,90.5,4.09 (3.90-4.28)
connective tissue cells 21,85.0,0.469,98.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,377.0,0.109,17.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,91.0,0.272,89.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.344,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.147,55.0,104,8,7.69,1.33 (0.64-2.02),96,92.31,3.00 (2.72-3.28)
oligodendrocytes 0,2078.0,0.12,62.0,238,4,1.68,3.12 (1.08-5.16),234,98.32,3.65 (3.42-3.87)
microglia 1,813.0,0.102,31.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.08,36.0,87,12,13.79,1.89 (1.27-2.52),75,86.21,2.70 (2.41-3.00)
oligodendrocytes 2,1630.0,0.16,85.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
