tipo_celular,module_size,NSUN6_MM,NSUN6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.207,76.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,727.0,0.089,9.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,499.0,0.11,14.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,25,7.08,1.96 (1.45-2.48),328,92.92,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,823.0,0.201,64.0,23,2,8.7,2.00 (0.05-3.95),21,91.3,2.44 (1.65-3.24)
GLU like neurons 17,1247.0,0.137,53.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,82.0,0.307,63.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.21,64.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,271.0,0.303,86.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.158,54.0,74,6,8.11,1.97 (1.61-2.33),68,91.89,3.04 (2.64-3.45)
astrocytes 8,1266.0,0.069,36.0,66,4,6.06,1.84 (0.34-3.34),62,93.94,3.33 (2.90-3.76)
oligodendrocyte progenitor cells 12,708.0,0.057,15.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.113,35.0,358,28,7.82,1.96 (1.45-2.48),330,92.18,4.06 (3.87-4.25)
connective tissue cells 21,103.0,0.282,53.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768.0,0.101,64.0,105,15,14.29,1.65 (1.17-2.13),90,85.71,3.50 (3.15-3.85)
oligodendrocytes 16,74.0,0.118,10.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,103.0,0.237,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.146,41.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.092,11.0,238,10,4.2,3.06 (2.02-4.10),228,95.8,3.67 (3.44-3.89)
microglia 1,813.0,0.099,27.0,79,6,7.59,5.18 (5.15-5.22),73,92.41,2.98 (2.57-3.39)
oligodendrocytes 3,357.0,0.123,69.0,127,2,1.57,2.83 (NA-NA),125,98.43,3.12 (2.79-3.46)
oligodendrocytes 2,407.0,0.121,14.0,122,14,11.48,1.52 (1.09-1.94),108,88.52,3.64 (3.23-4.05)
