tipo_celular,module_size,ABLIM2_MM,ABLIM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.099,35.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,714.0,0.142,27.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1247.0,0.309,99.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,153.0,0.312,73.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.323,86.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300.0,0.389,99.0,306,10,3.27,3.15 (1.66-4.63),296,96.73,5.17 (4.91-5.43)
astrocytes 8,727.0,0.129,64.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.05,8.0,261,5,1.92,3.86 (3.22-4.49),256,98.08,4.38 (4.13-4.62)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.054,20.0,96,10,10.42,3.84 (2.58-5.11),86,89.58,3.59 (3.11-4.07)
oligodendrocytes 16,81.0,0.147,13.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,80.0,0.366,71.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.126,20.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,309.0,0.18,81.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.063,20.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,1630.0,0.127,23.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
