tipo_celular,module_size,SCFD2_MM,SCFD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.368,98.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,727.0,0.188,81.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,322.0,0.134,29.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,448.0,0.069,6.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599.0,0.21,50.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,637.0,0.081,13.0,91,3,3.3,1.95 (0.24-3.67),88,96.7,4.66 (4.13-5.18)
da like neurons 11,153.0,0.442,98.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.17,79.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.272,75.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300.0,0.262,75.0,306,5,1.63,1.78 (0.98-2.57),301,98.37,5.17 (4.91-5.43)
astrocytes 8,727.0,0.19,86.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,103.0,0.464,58.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107.0,0.326,92.0,358,12,3.35,3.20 (2.58-3.82),346,96.65,3.89 (3.69-4.09)
connective tissue cells 21,102.0,0.229,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.18,98.0,105,6,5.71,2.84 (1.71-3.97),99,94.29,3.24 (2.89-3.59)
oligodendrocytes 16,82.0,0.213,78.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398.0,0.123,37.0,138,1,0.72,2.91 (NA-NA),137,99.28,4.84 (4.47-5.21)
astrocytes microglia 23,253.0,0.265,54.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752.0,0.151,47.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.121,22.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813.0,0.33,100.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.128,73.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,804.0,0.2,89.0,84,1,1.19,0.21 (NA-NA),83,98.81,2.73 (2.39-3.06)
