tipo_celular,module_size,SLC26A3_MM,SLC26A3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.189,35.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,506,0.138,29.0,225,2,0.89,0.92 (0.19-1.65),223,99.11,3.64 (3.40-3.89)
astrocytes 5,328,0.119,25.0,128,1,0.78,3.77 (NA-NA),127,99.22,3.57 (3.22-3.91)
oligodendrocyte progenitor cells 7,448,0.234,83.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,192,0.213,80.0,55,4,7.27,3.13 (2.52-3.74),51,92.73,4.11 (3.66-4.55)
GLU like neurons 17,1247,0.168,72.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,1220,0.11,20.0,410,16,3.9,3.01 (2.49-3.54),394,96.1,4.32 (4.13-4.51)
GABA neurons expressing GABA receptors 13,417,0.256,92.0,213,12,5.63,1.85 (1.15-2.55),201,94.37,3.90 (3.66-4.15)
endothelial cells 9,916,0.127,23.0,302,4,1.32,2.21 (0.50-3.92),298,98.68,4.01 (3.79-4.24)
oligodendrocytes 20,250,0.092,16.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.081,4.0,455,5,1.1,1.76 (0.23-3.29),450,98.9,4.38 (4.20-4.57)
astrocytes 8,47,0.124,55.0,76,4,5.26,2.50 (2.38-2.61),72,94.74,4.12 (3.81-4.43)
oligodendrocyte progenitor cells 12,1049,0.226,87.0,235,5,2.13,3.28 (2.30-4.27),230,97.87,3.84 (3.60-4.08)
oligodendrocytes 10,483,0.096,41.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,118,0.241,16.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,338,0.117,23.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,158,0.143,10.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729,0.24,85.0,182,3,1.65,3.31 (2.60-4.02),179,98.35,3.64 (3.39-3.90)
astrocytes microglia 23,137,0.333,39.0,188,3,1.6,0.49 (0.39-0.59),185,98.4,4.43 (4.10-4.76)
astrocytes 4,208,0.255,73.0,173,9,5.2,3.85 (3.81-3.89),164,94.8,3.79 (3.47-4.12)
oligodendrocytes 0,546,0.137,30.0,252,10,3.97,2.37 (1.39-3.34),242,96.03,4.18 (3.93-4.44)
microglia 1,406,0.145,36.0,278,5,1.8,3.65 (3.29-4.01),273,98.2,4.38 (4.10-4.66)
oligodendrocytes 3,32,0.238,46.0,81,6,7.41,2.89 (2.39-3.38),75,92.59,4.15 (3.84-4.46)
oligodendrocytes 2,526,0.077,2.0,213,2,0.94,3.67 (3.45-3.89),211,99.06,3.98 (3.71-4.26)
