tipo_celular,module_size,TFDP2_MM,TFDP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.159,42.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49)
T cells 18,393.0,0.255,83.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,156.0,0.148,53.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,58,16.43,2.12 (1.84-2.40),295,83.57,4.37 (4.19-4.55)
GABA neurons expressing GLU receptors 22,459.0,0.096,19.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,1247.0,0.209,86.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,289.0,0.392,100.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.131,24.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,330.0,0.221,67.0,36,17,47.22,2.05 (1.77-2.33),19,52.78,1.79 (1.15-2.43)
GABA like neurons 14,1300.0,0.287,84.0,306,7,2.29,1.70 (0.65-2.75),299,97.71,5.21 (4.96-5.47)
astrocytes 8,354.0,0.247,96.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,218.0,0.247,49.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107.0,0.248,82.0,358,73,20.39,2.18 (1.93-2.43),285,79.61,4.49 (4.31-4.67)
connective tissue cells 21,78.0,0.235,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.072,36.0,96,8,8.33,2.40 (1.58-3.22),88,91.67,3.73 (3.25-4.21)
oligodendrocytes 16,74.0,0.199,54.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,398.0,0.096,17.0,138,14,10.14,1.90 (1.21-2.59),124,89.86,5.19 (4.84-5.54)
astrocytes microglia 23,141.0,0.201,18.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55)
astrocytes 4,201.0,0.152,32.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,187.0,0.15,40.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,1615.0,0.111,51.0,161,56,34.78,2.09 (1.81-2.36),105,65.22,4.15 (3.85-4.44)
oligodendrocytes 3,187.0,0.148,74.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,347.0,0.215,59.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
