tipo_celular,module_size,NAF1_MM,NAF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.192,68.0,97,2,2.06,4.90 (4.50-5.30),95,97.94,3.01 (2.61-3.40)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.135,81.0,136,10,7.35,2.37 (1.54-3.19),126,92.65,3.29 (3.00-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.175,96.0,353,72,20.4,2.58 (2.24-2.92),281,79.6,4.36 (4.18-4.54)
GABA neurons expressing GLU receptors 22,703.0,0.131,20.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,1316.0,0.091,20.0,101,3,2.97,2.89 (2.79-3.00),98,97.03,3.06 (2.69-3.42)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.126,33.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,295.0,0.48,97.0,28,4,14.29,3.10 (1.68-4.52),24,85.71,2.02 (1.56-2.49)
GABA like neurons 14,3052.0,0.163,70.0,125,2,1.6,4.29 (1.76-6.81),123,98.4,3.33 (3.01-3.66)
astrocytes 8,727.0,0.111,53.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,54,19.57,2.47 (2.12-2.81),222,80.43,3.90 (3.66-4.15)
oligodendrocytes 10,2107.0,0.113,35.0,358,80,22.35,2.62 (2.27-2.96),278,77.65,4.40 (4.21-4.58)
connective tissue cells 21,114.0,0.284,55.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,1401.0,0.08,45.0,96,9,9.38,2.78 (2.05-3.50),87,90.62,3.72 (3.23-4.21)
oligodendrocytes 16,74.0,0.239,80.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.276,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.17,83.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.128,78.0,238,19,7.98,3.08 (2.44-3.72),219,92.02,3.69 (3.46-3.93)
microglia 1,958.0,0.135,80.0,290,33,11.38,3.70 (3.08-4.31),257,88.62,3.83 (3.59-4.08)
oligodendrocytes 3,1003.0,0.084,37.0,111,7,6.31,5.18 (4.18-6.18),104,93.69,3.16 (2.82-3.51)
oligodendrocytes 2,1630.0,0.152,72.0,154,5,3.25,4.51 (3.11-5.91),149,96.75,3.20 (2.93-3.46)
