tipo_celular,module_size,MTHFD2L_MM,MTHFD2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.146,46.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.164,88.0,166,7,4.22,1.57 (0.83-2.31),159,95.78,3.49 (3.24-3.74)
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,14,3.97,1.32 (0.78-1.85),339,96.03,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,1069.0,0.177,59.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.131,50.0,135,1,0.74,0.82 (NA-NA),134,99.26,3.21 (2.90-3.52)
da like neurons 11,153.0,0.282,65.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.099,26.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,250.0,0.301,81.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.18,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.218,93.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.051,15.0,276,6,2.17,2.01 (1.51-2.51),270,97.83,3.59 (3.37-3.81)
oligodendrocytes 10,2107.0,0.126,41.0,358,12,3.35,1.12 (0.60-1.65),346,96.65,3.99 (3.80-4.18)
connective tissue cells 21,86.0,0.258,37.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,1768.0,0.089,51.0,105,7,6.67,1.75 (1.09-2.41),98,93.33,3.33 (2.98-3.67)
oligodendrocytes 16,108.0,0.098,4.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.282,24.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.131,20.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.141,42.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813.0,0.118,53.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.112,66.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.158,82.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
