tipo_celular,module_size,PRDX5_MM,PRDX5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.156,62.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,400.0,0.393,96.0,24,9,37.5,1.31 (0.46-2.15),15,62.5,2.67 (2.17-3.16)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.328,86.0,410,19,4.63,3.59 (3.02-4.16),391,95.37,4.28 (4.09-4.48)
GABA neurons expressing GABA receptors 13,417.0,0.221,80.0,213,28,13.15,2.00 (1.25-2.74),185,86.85,4.03 (3.80-4.26)
endothelial cells 9,916.0,0.367,81.0,302,9,2.98,3.53 (2.11-4.94),293,97.02,4.00 (3.77-4.23)
oligodendrocytes 20,938.0,0.151,62.0,169,17,10.06,2.98 (2.14-3.81),152,89.94,3.53 (3.31-3.76)
GABA like neurons 14,2402.0,0.642,97.0,455,32,7.03,1.90 (1.43-2.38),423,92.97,4.57 (4.39-4.75)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.273,90.0,235,10,4.26,3.71 (3.23-4.18),225,95.74,3.83 (3.59-4.07)
oligodendrocytes 10,806.0,0.179,57.0,261,9,3.45,3.04 (2.39-3.70),252,96.55,4.40 (4.15-4.65)
connective tissue cells 21,77.0,0.386,93.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,123.0,0.26,78.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,729.0,0.267,91.0,182,5,2.75,1.44 (1.34-1.53),177,97.25,3.70 (3.45-3.95)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.186,60.0,252,35,13.89,2.29 (1.68-2.90),217,86.11,4.42 (4.18-4.66)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.168,72.0,345,11,3.19,3.63 (3.30-3.95),334,96.81,4.29 (4.08-4.51)
oligodendrocytes 2,526.0,0.306,62.0,213,5,2.35,5.83 (3.17-8.48),208,97.65,3.96 (3.68-4.23)
