tipo_celular,module_size,CYLD_MM,CYLD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.097,10.0,102,42,41.18,2.88 (2.42-3.34),60,58.82,3.93 (3.43-4.43)
T cells 18,477,0.267,93.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53)
astrocytes 5,1656,0.121,59.0,136,5,3.68,1.66 (1.34-1.98),131,96.32,3.28 (3.00-3.55)
oligodendrocyte progenitor cells 7,666,0.191,66.0,127,16,12.6,2.53 (1.99-3.07),111,87.4,4.13 (3.77-4.49)
GABA neurons expressing GLU receptors 22,848,0.281,72.0,262,21,8.02,3.37 (2.56-4.18),241,91.98,4.25 (4.00-4.51)
GLU like neurons 17,637,0.041,2.0,91,18,19.78,2.32 (1.53-3.11),73,80.22,5.35 (4.86-5.84)
da like neurons 11,215,0.134,29.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,200,0.138,41.0,34,2,5.88,3.54 (3.28-3.81),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,412,0.225,69.0,141,11,7.8,2.59 (1.84-3.33),130,92.2,3.00 (2.74-3.25)
oligodendrocytes 20,253,0.144,41.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052,0.166,73.0,125,8,6.4,4.08 (3.46-4.69),117,93.6,3.31 (2.98-3.65)
astrocytes 8,520,0.107,46.0,288,18,6.25,4.06 (3.22-4.91),270,93.75,4.18 (3.97-4.39)
oligodendrocyte progenitor cells 12,708,0.152,65.0,32,10,31.25,1.54 (0.75-2.33),22,68.75,4.05 (3.12-4.99)
oligodendrocytes 10,735,0.123,65.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,84,0.234,25.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.069,32.0,105,17,16.19,1.71 (1.30-2.13),88,83.81,3.53 (3.17-3.89)
oligodendrocytes 16,64,0.229,75.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,553,0.185,79.0,124,9,7.26,4.18 (2.82-5.54),115,92.74,4.18 (3.77-4.60)
astrocytes microglia 23,327,0.249,21.0,120,53,44.17,3.00 (2.61-3.39),67,55.83,4.23 (3.84-4.63)
astrocytes 4,787,0.168,79.0,65,8,12.31,4.27 (3.68-4.86),57,87.69,2.79 (2.37-3.20)
oligodendrocytes 0,1186,0.156,68.0,300,22,7.33,3.90 (3.49-4.31),278,92.67,3.78 (3.56-4.00)
microglia 1,480,0.13,18.0,163,26,15.95,3.81 (3.35-4.28),137,84.05,3.69 (3.39-3.99)
oligodendrocytes 3,854,0.113,75.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,804,0.143,39.0,84,18,21.43,2.74 (2.08-3.40),66,78.57,2.67 (2.28-3.06)
