tipo_celular,module_size,USP13_MM,USP13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.096,15.0,49,3,6.12,3.46 (2.38-4.54),46,93.88,2.35 (1.94-2.76)
astrocytes 5,1656.0,0.099,25.0,136,8,5.88,1.97 (1.31-2.62),128,94.12,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,65,18.41,2.52 (2.14-2.90),288,81.59,4.28 (4.09-4.46)
GABA neurons expressing GLU receptors 22,1069.0,0.19,69.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,1316.0,0.129,55.0,101,10,9.9,4.67 (3.31-6.03),91,90.1,2.92 (2.57-3.27)
da like neurons 11,289.0,0.194,54.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.172,40.0,62,2,3.23,3.13 (3.13-3.13),60,96.77,4.08 (3.62-4.54)
oligodendrocytes 20,295.0,0.332,87.0,28,5,17.86,2.24 (1.83-2.64),23,82.14,2.18 (1.61-2.74)
GABA like neurons 14,2090.0,0.166,58.0,74,12,16.22,2.13 (1.92-2.35),62,83.78,3.13 (2.68-3.57)
astrocytes 8,354.0,0.072,20.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,59,21.38,2.54 (2.21-2.88),217,78.62,3.88 (3.63-4.13)
oligodendrocytes 10,2107.0,0.096,26.0,358,71,19.83,2.43 (2.08-2.79),287,80.17,4.33 (4.15-4.52)
connective tissue cells 21,69.0,0.271,40.0,1,1,100.0,NA,0,0.0,NA
astrocytes 15,377.0,0.22,87.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,156.0,0.137,5.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.431,93.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.123,15.0,104,34,32.69,2.15 (1.78-2.51),70,67.31,3.22 (2.87-3.57)
oligodendrocytes 0,2078.0,0.141,94.0,238,27,11.34,3.41 (2.73-4.10),211,88.66,3.66 (3.43-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.089,45.0,15,6,40.0,1.29 (0.28-2.30),9,60.0,5.05 (3.62-6.47)
oligodendrocytes 2,804.0,0.138,33.0,84,14,16.67,2.84 (2.11-3.56),70,83.33,2.65 (2.27-3.03)
