tipo_celular,module_size,KCNK1_MM,KCNK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.185,64.0,127,4,3.15,1.96 (1.10-2.82),123,96.85,3.92 (3.58-4.26)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.124,51.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.266,89.0,118,26,22.03,4.42 (3.86-4.98),92,77.97,4.85 (4.42-5.29)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.097,12.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.236,99.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.144,64.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.199,90.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.193,37.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.121,26.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.084,20.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,528.0,0.278,81.0,175,3,1.71,1.81 (1.30-2.32),172,98.29,4.45 (4.10-4.80)
