tipo_celular,module_size,ST7_MM,ST7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.22,75.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,349.0,0.077,9.0,68,4,5.88,1.11 (0.68-1.54),64,94.12,4.64 (4.11-5.17)
astrocytes 5,118.0,0.183,18.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,666.0,0.118,16.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,823.0,0.198,62.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.133,52.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,140.0,0.381,95.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.171,79.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.384,92.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300.0,0.291,86.0,306,11,3.59,1.82 (1.22-2.42),295,96.41,5.28 (5.02-5.53)
astrocytes 8,283.0,0.257,94.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,143.0,0.448,66.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107.0,0.116,37.0,358,8,2.23,1.11 (0.67-1.55),350,97.77,3.95 (3.76-4.13)
connective tissue cells 21,95.0,0.254,33.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,268.0,0.27,87.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,64.0,0.155,31.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.328,81.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84)
astrocytes 4,220.0,0.187,62.0,63,5,7.94,3.04 (2.74-3.34),58,92.06,5.37 (4.79-5.95)
oligodendrocytes 0,309.0,0.125,39.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,346.0,0.094,10.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,1003.0,0.105,60.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.174,72.0,84,3,3.57,1.23 (0.23-2.23),81,96.43,2.76 (2.42-3.10)
