tipo_celular,module_size,ZNF737_MM,ZNF737_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,26,7.37,1.70 (1.45-1.94),327,92.63,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,1069.0,0.127,22.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,489.0,0.119,36.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,853.0,0.083,13.0,133,30,22.56,1.97 (1.69-2.25),103,77.44,3.72 (3.35-4.08)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.046,19.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,2090.0,0.151,48.0,74,13,17.57,2.23 (1.94-2.52),61,82.43,3.12 (2.67-3.58)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,27,9.78,1.70 (1.48-1.92),249,90.22,3.81 (3.59-4.04)
oligodendrocytes 10,1277.0,0.022,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,116.0,0.425,94.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,86.0,0.242,83.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.472,93.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.125,72.0,238,8,3.36,2.01 (1.45-2.57),230,96.64,3.70 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.056,11.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.156,79.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
