tipo_celular,module_size,PRELID2_MM,PRELID2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.23,64.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,727.0,0.171,70.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,499.0,0.155,47.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.354,87.0,120,1,0.83,2.00 (NA-NA),119,99.17,4.63 (4.32-4.95)
oligodendrocytes 20,298.0,0.026,2.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.061,3.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.105,48.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.131,43.0,358,10,2.79,1.34 (0.64-2.05),348,97.21,3.96 (3.77-4.15)
connective tissue cells 21,183.0,0.195,18.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76)
astrocytes 15,1401.0,0.087,52.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,94.0,0.229,62.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,47.0,0.342,46.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.131,27.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,2078.0,0.083,5.0,238,1,0.42,2.00 (NA-NA),237,99.58,3.64 (3.42-3.87)
microglia 1,1615.0,0.13,77.0,161,10,6.21,1.18 (0.63-1.73),151,93.79,3.44 (3.18-3.71)
oligodendrocytes 3,854.0,0.11,72.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,347.0,0.283,82.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
