tipo_celular,module_size,ADARB1_MM,ADARB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.245,86.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.128,71.0,136,8,5.88,1.74 (1.36-2.11),128,94.12,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,47,13.31,1.92 (1.62-2.23),306,86.69,4.29 (4.12-4.46)
GABA neurons expressing GLU receptors 22,703.0,0.093,7.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,300.0,0.138,13.0,16,7,43.75,2.70 (2.17-3.23),9,56.25,1.74 (0.48-3.00)
da like neurons 11,853.0,0.141,58.0,133,34,25.56,1.75 (1.42-2.08),99,74.44,3.87 (3.54-4.21)
GABA neurons expressing GABA receptors 13,266.0,0.15,45.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,1653.0,0.143,63.0,297,3,1.01,2.88 (2.50-3.25),294,98.99,3.68 (3.48-3.89)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.235,91.0,74,7,9.46,1.96 (1.66-2.26),67,90.54,3.06 (2.65-3.47)
astrocytes 8,218.0,0.055,30.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.095,70.0,276,40,14.49,2.06 (1.77-2.35),236,85.51,3.87 (3.64-4.10)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.248,32.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,443.0,0.271,96.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.081,25.0,43,2,4.65,3.73 (3.62-3.83),41,95.35,3.25 (2.70-3.81)
astrocytes microglia 23,125.0,0.29,36.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.152,64.0,104,29,27.88,1.85 (1.52-2.17),75,72.12,3.30 (2.97-3.63)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
