tipo_celular,module_size,ERAP1_MM,ERAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.2,72.0,97,5,5.15,3.80 (1.05-6.55),92,94.85,3.03 (2.63-3.42)
T cells 18,624.0,0.092,8.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.135,51.0,353,22,6.23,1.62 (1.14-2.10),331,93.77,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.062,4.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,938.0,0.172,71.0,169,14,8.28,2.69 (1.82-3.57),155,91.72,3.54 (3.32-3.77)
GABA like neurons 14,2402.0,0.148,24.0,455,25,5.49,1.88 (1.30-2.46),430,94.51,4.51 (4.33-4.69)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.028,2.0,276,15,5.43,1.99 (1.50-2.47),261,94.57,3.66 (3.44-3.88)
oligodendrocytes 10,2107.0,0.091,24.0,358,23,6.42,1.53 (1.06-1.99),335,93.58,4.08 (3.90-4.27)
connective tissue cells 21,88.0,0.35,82.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.232,65.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.363,71.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.075,3.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88)
microglia 1,813.0,0.15,79.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52)
oligodendrocytes 3,743.0,0.08,46.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.115,9.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
