tipo_celular,module_size,GBA2_MM,GBA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.092,16.0,136,7,5.15,3.35 (2.67-4.03),129,94.85,3.20 (2.91-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,28,7.93,2.27 (1.63-2.91),325,92.07,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,487.0,0.268,69.0,73,2,2.74,2.27 (0.40-4.14),71,97.26,2.77 (2.38-3.16)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,94.0,0.137,31.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.124,27.0,118,1,0.85,2.92 (NA-NA),117,99.15,4.76 (4.40-5.11)
endothelial cells 9,385.0,0.061,7.0,275,15,5.45,1.70 (1.03-2.37),260,94.55,4.14 (3.89-4.40)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.174,78.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61)
astrocytes 8,603.0,0.087,57.0,89,4,4.49,1.66 (0.40-2.91),85,95.51,2.83 (2.47-3.19)
oligodendrocyte progenitor cells 12,3303.0,0.126,92.0,276,15,5.43,2.87 (1.87-3.87),261,94.57,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.39,86.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768.0,0.037,5.0,105,15,14.29,2.28 (1.68-2.89),90,85.71,3.38 (3.01-3.75)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.098,27.0,124,6,4.84,4.21 (2.35-6.07),118,95.16,4.18 (3.78-4.58)
astrocytes microglia 23,94.0,0.285,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.158,75.0,104,15,14.42,2.49 (1.81-3.17),89,85.58,2.93 (2.62-3.24)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
