tipo_celular,module_size,TBRG1_MM,TBRG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.081,4.0,102,14,13.73,2.16 (1.52-2.79),88,86.27,3.73 (3.34-4.12)
T cells 18,727.0,0.107,22.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.105,33.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,30,8.5,1.92 (1.48-2.37),323,91.5,4.12 (3.94-4.31)
GABA neurons expressing GLU receptors 22,823.0,0.169,45.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,685.0,0.063,8.0,135,12,8.89,1.88 (1.17-2.59),123,91.11,3.34 (3.02-3.66)
da like neurons 11,168.0,0.079,15.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.117,61.0,275,30,10.91,2.18 (1.64-2.72),245,89.09,4.26 (3.99-4.52)
oligodendrocytes 20,348.0,0.124,49.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24)
GABA like neurons 14,2402.0,0.102,9.0,455,22,4.84,2.16 (1.46-2.87),433,95.16,4.49 (4.31-4.67)
astrocytes 8,603.0,0.058,33.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,708.0,0.074,27.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.103,31.0,358,33,9.22,1.86 (1.44-2.29),325,90.78,4.13 (3.95-4.32)
connective tissue cells 21,104.0,0.284,53.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,261.0,0.179,68.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,82.0,0.263,77.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.104,31.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,83.0,0.333,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.17,91.0,104,17,16.35,1.84 (1.28-2.40),87,83.65,3.08 (2.78-3.38)
oligodendrocytes 0,2078.0,0.116,53.0,238,4,1.68,1.62 (0.53-2.71),234,98.32,3.68 (3.46-3.90)
microglia 1,1615.0,0.077,7.0,161,21,13.04,1.46 (1.02-1.90),140,86.96,3.62 (3.35-3.88)
oligodendrocytes 3,743.0,0.075,40.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.144,55.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
