tipo_celular,module_size,SOGA1_MM,SOGA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.212,44.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.079,2.0,80,9,11.25,5.22 (3.85-6.59),71,88.75,3.16 (2.68-3.64)
oligodendrocyte progenitor cells 7,4285.0,0.081,3.0,353,27,7.65,2.46 (1.76-3.16),326,92.35,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,1069.0,0.192,70.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1247.0,0.214,87.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.144,59.0,133,17,12.78,1.83 (1.21-2.45),116,87.22,3.51 (3.18-3.83)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.185,43.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,348.0,0.168,62.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22)
GABA like neurons 14,2090.0,0.25,94.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,1266.0,0.049,14.0,66,11,16.67,1.91 (0.94-2.88),55,83.33,3.54 (3.12-3.96)
oligodendrocyte progenitor cells 12,708.0,0.474,96.0,32,6,18.75,1.14 (0.21-2.07),26,81.25,3.82 (2.96-4.68)
oligodendrocytes 10,1277.0,0.098,43.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.288,44.0,9,2,22.22,3.37 (-2.73-9.48),7,77.78,4.02 (1.01-7.03)
astrocytes 15,1401.0,0.096,60.0,96,8,8.33,3.35 (2.34-4.35),88,91.67,3.64 (3.15-4.13)
oligodendrocytes 16,121.0,0.259,74.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,95.0,0.306,42.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,787.0,0.123,10.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.164,82.0,300,8,2.67,4.66 (3.33-5.99),292,97.33,3.76 (3.56-3.97)
microglia 1,958.0,0.1,32.0,290,8,2.76,1.90 (1.11-2.69),282,97.24,3.88 (3.65-4.11)
oligodendrocytes 3,1003.0,0.124,73.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.156,30.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
