tipo_celular,module_size,FLNB_MM,FLNB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.128,76.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,17,4.82,1.39 (0.92-1.86),336,95.18,4.06 (3.88-4.23)
GABA neurons expressing GLU receptors 22,1069.0,0.172,55.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,229.0,0.254,82.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,289.0,0.172,45.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.289,75.0,120,11,9.17,3.49 (2.42-4.55),109,90.83,4.74 (4.42-5.06)
oligodendrocytes 20,322.0,0.074,25.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.232,91.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,354.0,0.117,48.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.079,32.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,2107.0,0.107,32.0,358,20,5.59,1.31 (0.91-1.72),338,94.41,4.07 (3.88-4.25)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.114,31.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,85.0,0.131,3.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.258,15.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,721.0,0.165,76.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,479.0,0.125,28.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.138,57.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64)
oligodendrocytes 2,347.0,0.257,73.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
