tipo_celular,module_size,TOM1L1_MM,TOM1L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.142,89.0,136,4,2.94,2.73 (1.22-4.24),132,97.06,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,628.0,0.112,13.0,164,8,4.88,3.50 (2.82-4.18),156,95.12,4.13 (3.78-4.47)
GABA neurons expressing GLU receptors 22,1069.0,0.192,70.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1316.0,0.135,60.0,101,5,4.95,3.10 (2.83-3.38),96,95.05,3.05 (2.69-3.41)
da like neurons 11,853.0,0.12,41.0,133,16,12.03,1.56 (1.02-2.10),117,87.97,3.53 (3.21-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.09,6.0,455,40,8.79,2.80 (2.30-3.31),415,91.21,4.53 (4.34-4.71)
astrocytes 8,603.0,0.051,22.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,1049.0,0.057,23.0,235,13,5.53,3.46 (2.86-4.07),222,94.47,3.84 (3.60-4.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.247,28.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1768.0,0.058,21.0,105,21,20.0,2.43 (1.90-2.95),84,80.0,3.43 (3.04-3.82)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.359,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.163,83.0,104,17,16.35,2.13 (1.45-2.81),87,83.65,3.00 (2.70-3.30)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
