tipo_celular,module_size,XYLT1_MM,XYLT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.479,100.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,393.0,0.202,73.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63)
astrocytes 5,423.0,0.168,61.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,436.0,0.332,100.0,219,5,2.28,3.35 (2.48-4.22),214,97.72,5.28 (4.99-5.57)
GABA neurons expressing GLU receptors 22,192.0,0.088,17.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,300.0,0.219,75.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,215.0,0.474,99.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.062,22.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.271,78.0,306,10,3.27,2.70 (1.95-3.44),296,96.73,5.21 (4.95-5.48)
astrocytes 8,577.0,0.164,85.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,411.0,0.466,97.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97)
oligodendrocytes 10,2107.0,0.329,93.0,358,18,5.03,1.54 (0.91-2.17),340,94.97,4.03 (3.84-4.21)
connective tissue cells 21,86.0,0.253,35.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,1768.0,0.131,84.0,105,13,12.38,1.82 (1.28-2.37),92,87.62,3.43 (3.07-3.78)
oligodendrocytes 16,149.0,0.153,27.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.219,23.0,57,1,1.75,2.68 (NA-NA),56,98.25,2.65 (2.28-3.02)
astrocytes 4,514.0,0.269,80.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,1186.0,0.199,99.0,300,1,0.33,5.21 (NA-NA),299,99.67,3.79 (3.58-3.99)
microglia 1,346.0,0.139,44.0,43,1,2.33,4.56 (NA-NA),42,97.67,3.74 (3.23-4.26)
oligodendrocytes 3,681.0,0.152,87.0,87,8,9.2,1.07 (0.73-1.40),79,90.8,2.75 (2.48-3.02)
oligodendrocytes 2,347.0,0.196,51.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
