tipo_celular,module_size,GLTP_MM,GLTP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.118,18.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,18,5.1,1.93 (1.39-2.48),335,94.9,4.03 (3.84-4.21)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.322,76.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.197,46.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,253.0,0.094,22.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.087,8.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771.0,0.237,72.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.191,75.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,1277.0,0.181,85.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,69.0,0.46,100.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,458.0,0.116,62.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,74.0,0.237,83.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.342,64.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.133,30.0,104,8,7.69,1.88 (0.58-3.19),96,92.31,2.95 (2.67-3.23)
oligodendrocytes 0,613.0,0.134,42.0,127,4,3.15,3.21 (2.64-3.79),123,96.85,3.04 (2.61-3.48)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.052,5.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,528.0,0.219,60.0,175,3,1.71,2.07 (2.05-2.09),172,98.29,4.42 (4.07-4.77)
