tipo_celular,module_size,REEP1_MM,REEP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.154,33.0,251,9,3.59,4.92 (4.36-5.47),242,96.41,4.03 (3.79-4.28)
GABA neurons expressing GLU receptors 22,400.0,0.178,37.0,24,12,50.0,1.69 (0.91-2.46),12,50.0,2.63 (2.05-3.20)
GLU like neurons 17,1316.0,0.154,75.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,120.0,0.226,43.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,90.0,0.198,78.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.145,21.0,306,11,3.59,2.27 (1.42-3.13),295,96.41,5.24 (4.98-5.49)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.081,53.0,276,11,3.99,2.56 (1.80-3.32),265,96.01,3.60 (3.37-3.82)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.196,89.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,37.0,0.375,73.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
