tipo_celular,module_size,GPR37L1_MM,GPR37L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.104,8.0,98,4,4.08,2.40 (0.97-3.84),94,95.92,4.71 (4.30-5.12)
oligodendrocyte progenitor cells 7,628.0,0.322,92.0,164,2,1.22,1.99 (0.62-3.35),162,98.78,4.12 (3.79-4.45)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.134,19.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.066,42.0,89,1,1.12,2.80 (NA-NA),88,98.88,2.76 (2.40-3.12)
oligodendrocyte progenitor cells 12,143.0,0.505,94.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,735.0,0.052,13.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.206,84.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,116.0,0.297,94.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.269,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,201.0,0.2,71.0,18,9,50.0,3.25 (2.78-3.73),9,50.0,5.82 (4.67-6.97)
oligodendrocytes 0,309.0,0.1,15.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.071,35.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.151,69.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
