tipo_celular,module_size,ACP6_MM,ACP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.106,22.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141.0,0.096,10.0,166,8,4.82,1.49 (0.83-2.15),158,95.18,3.51 (3.26-3.76)
oligodendrocyte progenitor cells 7,4285.0,0.15,73.0,353,21,5.95,2.34 (1.45-3.24),332,94.05,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.186,65.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.1,28.0,135,3,2.22,1.03 (0.73-1.32),132,97.78,3.25 (2.94-3.55)
da like neurons 11,142.0,0.089,12.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.171,76.0,125,3,2.4,5.77 (5.72-5.82),122,97.6,3.28 (2.96-3.60)
astrocytes 8,1266.0,0.079,48.0,66,9,13.64,1.10 (0.50-1.70),57,86.36,3.62 (3.23-4.02)
oligodendrocyte progenitor cells 12,3303.0,0.055,21.0,276,19,6.88,3.68 (2.75-4.61),257,93.12,3.53 (3.31-3.75)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.209,83.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.296,38.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,787.0,0.172,85.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
