tipo_celular,module_size,FAM120A_MM,FAM120A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.15,43.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,610.0,0.203,81.0,98,9,9.18,1.22 (0.40-2.04),89,90.82,3.33 (3.03-3.64)
astrocytes 5,1141.0,0.097,11.0,166,3,1.81,0.76 (0.35-1.17),163,98.19,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,4285.0,0.172,94.0,353,12,3.4,1.19 (0.57-1.81),341,96.6,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,823.0,0.166,42.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.183,89.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,145.0,0.178,38.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.101,28.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.151,54.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.202,92.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.067,42.0,89,2,2.25,1.39 (1.08-1.71),87,97.75,2.80 (2.45-3.16)
oligodendrocyte progenitor cells 12,708.0,0.162,67.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,2107.0,0.208,71.0,358,12,3.35,1.19 (0.57-1.81),346,96.65,3.99 (3.80-4.17)
connective tissue cells 21,104.0,0.209,15.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768.0,0.139,88.0,105,5,4.76,1.55 (0.67-2.43),100,95.24,3.30 (2.96-3.64)
oligodendrocytes 16,122.0,0.235,74.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,553.0,0.108,34.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,253.0,0.189,16.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,721.0,0.126,10.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.154,66.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.095,28.0,161,11,6.83,1.01 (0.46-1.56),150,93.17,3.48 (3.22-3.74)
oligodendrocytes 3,681.0,0.092,48.0,87,5,5.75,1.26 (0.13-2.40),82,94.25,2.67 (2.40-2.94)
oligodendrocytes 2,921.0,0.146,66.0,200,1,0.5,3.22 (NA-NA),199,99.5,3.62 (3.36-3.89)
