tipo_celular,module_size,TPGS2_MM,TPGS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.292,88.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,282,0.127,34.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,228,0.106,12.0,266,1,0.38,1.95 (NA-NA),265,99.62,4.12 (3.91-4.33)
oligodendrocyte progenitor cells 7,296,0.149,28.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,703,0.223,72.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316,0.148,71.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.173,48.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,90,0.213,85.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,338,0.164,62.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,322,0.073,24.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.268,59.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,520,0.116,49.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303,0.063,30.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,806,0.183,58.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,106,0.315,72.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,458,0.05,19.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,313,0.154,22.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,228,0.111,66.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,111,0.3,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.117,10.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,2078,0.097,17.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,214,0.093,9.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33)
oligodendrocytes 3,457,0.069,20.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48)
oligodendrocytes 2,1630,0.129,25.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
