tipo_celular,module_size,ZNF83_MM,ZNF83_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.224,53.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,477.0,0.082,4.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,499.0,0.15,43.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,666.0,0.204,74.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,714.0,0.182,51.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1247.0,0.153,64.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.123,44.0,133,32,24.06,2.03 (1.76-2.31),101,75.94,3.74 (3.36-4.11)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.175,81.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,275.0,0.303,79.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2090.0,0.268,96.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.047,13.0,66,2,3.03,0.62 (-0.19-1.44),64,96.97,3.32 (2.91-3.73)
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,28,10.14,1.71 (1.49-1.92),248,89.86,3.82 (3.60-4.05)
oligodendrocytes 10,2107.0,0.199,68.0,358,33,9.22,1.73 (1.49-1.96),325,90.78,4.16 (3.98-4.35)
connective tissue cells 21,93.0,0.218,21.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,268.0,0.055,28.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81)
oligodendrocytes 16,116.0,0.242,79.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.259,15.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.169,80.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.118,14.0,300,1,0.33,3.05 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,1615.0,0.123,68.0,161,29,18.01,1.79 (1.54-2.04),132,81.99,3.69 (3.40-3.98)
oligodendrocytes 3,854.0,0.075,31.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.129,35.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
