tipo_celular,module_size,IVD_MM,IVD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.089,4.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,282.0,0.032,0.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.13,78.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,22,6.23,1.88 (1.12-2.63),331,93.77,4.07 (3.89-4.24)
GABA neurons expressing GLU receptors 22,459.0,0.08,11.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.048,0.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.056,3.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,295.0,0.134,27.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2090.0,0.088,9.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.074,41.0,66,12,18.18,1.47 (0.81-2.13),54,81.82,3.69 (3.29-4.10)
oligodendrocyte progenitor cells 12,3303.0,0.095,70.0,276,15,5.43,2.49 (1.49-3.49),261,94.57,3.62 (3.40-3.84)
oligodendrocytes 10,2107.0,0.077,16.0,358,19,5.31,1.48 (0.97-1.98),339,94.69,4.04 (3.86-4.23)
connective tissue cells 21,111.0,0.284,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.065,31.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,92.0,0.14,17.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.055,2.0,235,17,7.23,3.37 (2.49-4.24),218,92.77,4.03 (3.77-4.29)
astrocytes microglia 23,125.0,0.267,21.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,721.0,0.151,49.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.104,29.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88)
microglia 1,1615.0,0.109,50.0,161,20,12.42,1.49 (1.01-1.98),141,87.58,3.59 (3.33-3.86)
oligodendrocytes 3,854.0,0.031,1.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.096,2.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
