tipo_celular,module_size,SMARCD2_MM,SMARCD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.117,62.0,80,8,10.0,4.78 (4.17-5.39),72,90.0,3.54 (3.10-3.98)
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,80,22.66,2.55 (2.25-2.85),273,77.34,4.43 (4.24-4.61)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.082,50.0,66,24,36.36,2.15 (1.59-2.70),42,63.64,3.96 (3.50-4.41)
oligodendrocyte progenitor cells 12,103.0,0.045,9.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.024,1.0,96,10,10.42,2.80 (1.98-3.61),86,89.58,3.73 (3.24-4.23)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.231,8.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,1807.0,0.15,61.0,104,31,29.81,1.99 (1.56-2.42),73,70.19,3.28 (2.96-3.59)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
