tipo_celular,module_size,NEBL_MM,NEBL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.144,21.0,98,4,4.08,4.48 (3.02-5.93),94,95.92,4.61 (4.18-5.03)
oligodendrocyte progenitor cells 7,200.0,0.169,44.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,599.0,0.373,96.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.282,90.0,135,9,6.67,1.97 (1.01-2.93),126,93.33,3.25 (2.93-3.56)
da like neurons 11,82.0,0.519,100.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.164,55.0,118,2,1.69,4.86 (4.86-4.86),116,98.31,4.73 (4.37-5.10)
endothelial cells 9,658.0,0.231,60.0,120,10,8.33,4.93 (4.04-5.82),110,91.67,4.57 (4.24-4.91)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.247,68.0,306,21,6.86,3.71 (2.93-4.49),285,93.14,5.23 (4.96-5.50)
astrocytes 8,1266.0,0.351,100.0,66,13,19.7,1.84 (1.03-2.64),53,80.3,3.64 (3.22-4.06)
oligodendrocyte progenitor cells 12,411.0,0.36,82.0,103,4,3.88,3.48 (2.29-4.67),99,96.12,5.66 (5.27-6.04)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.276,52.0,32,3,9.38,5.50 (4.53-6.48),29,90.62,5.08 (4.38-5.78)
astrocytes 15,418.0,0.239,63.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.147,64.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,59.0,0.393,87.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.158,38.0,12,2,16.67,5.72 (NA-NA),10,83.33,4.40 (3.48-5.32)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
