tipo_celular,module_size,CD63_MM,CD63_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.206,74.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,506.0,0.227,62.0,225,23,10.22,2.74 (2.21-3.26),202,89.78,3.71 (3.44-3.98)
astrocytes 5,328.0,0.332,90.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628.0,0.298,90.0,164,17,10.37,3.73 (3.33-4.14),147,89.63,4.13 (3.77-4.50)
GABA neurons expressing GLU receptors 22,487.0,0.159,24.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.225,64.0,410,31,7.56,3.22 (2.80-3.63),379,92.44,4.33 (4.14-4.53)
GABA neurons expressing GABA receptors 13,417.0,0.251,90.0,213,29,13.62,2.25 (1.66-2.84),184,86.38,4.03 (3.78-4.27)
endothelial cells 9,916.0,0.56,97.0,302,11,3.64,2.52 (1.59-3.45),291,96.36,4.04 (3.81-4.27)
oligodendrocytes 20,938.0,0.172,71.0,169,24,14.2,2.89 (2.34-3.45),145,85.8,3.57 (3.33-3.80)
GABA like neurons 14,2402.0,0.589,94.0,455,45,9.89,2.89 (2.41-3.37),410,90.11,4.53 (4.34-4.72)
astrocytes 8,603.0,0.21,91.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.391,96.0,235,20,8.51,3.66 (3.25-4.07),215,91.49,3.84 (3.59-4.09)
oligodendrocytes 10,483.0,0.269,79.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,301.0,0.624,95.0,158,10,6.33,3.05 (2.23-3.87),148,93.67,4.35 (3.96-4.74)
astrocytes 15,443.0,0.1,12.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,92.0,0.183,31.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.244,86.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,137.0,0.48,86.0,188,20,10.64,2.84 (2.16-3.53),168,89.36,4.61 (4.24-4.97)
astrocytes 4,208.0,0.191,46.0,173,2,1.16,NA,171,98.84,3.80 (3.50-4.10)
oligodendrocytes 0,546.0,0.29,88.0,252,34,13.49,2.50 (1.97-3.02),218,86.51,4.37 (4.11-4.62)
microglia 1,406.0,0.448,83.0,278,6,2.16,6.26 (5.29-7.22),272,97.84,4.33 (4.06-4.60)
oligodendrocytes 3,303.0,0.242,85.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.412,85.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
