tipo_celular,module_size,LPGAT1_MM,LPGAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.177,28.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,349,0.141,34.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,165,0.288,75.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229,0.198,53.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567,0.151,32.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637,0.261,77.0,91,7,7.69,0.47 (0.28-0.65),84,92.31,5.01 (4.56-5.46)
da like neurons 11,101,0.238,51.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266,0.138,36.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,450,0.294,67.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.373,64.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,3052,0.255,100.0,125,3,2.4,4.30 (2.84-5.77),122,97.6,3.32 (2.99-3.65)
astrocytes 8,771,0.491,92.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.242,83.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,236,0.387,25.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,250,0.3,47.0,117,1,0.85,1.29 (NA-NA),116,99.15,5.42 (5.03-5.81)
astrocytes 15,458,0.258,89.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.302,49.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77)
da neurons 6,228,0.24,93.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,67,0.243,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102,0.189,49.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,479,0.164,61.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,127,0.147,36.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,99,0.236,58.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,348,0.193,48.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
