tipo_celular,module_size,ADGRL1_MM,ADGRL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.115,60.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.08,2.0,353,5,1.42,1.23 (0.54-1.93),348,98.58,3.94 (3.75-4.12)
GABA neurons expressing GLU receptors 22,1069.0,0.189,67.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.208,86.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.183,78.0,133,2,1.5,1.81 (-1.33-4.95),131,98.5,3.28 (2.97-3.59)
GABA neurons expressing GABA receptors 13,357.0,0.165,52.0,237,3,1.27,4.85 (1.65-8.06),234,98.73,4.40 (4.17-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.162,33.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300.0,0.276,80.0,306,45,14.71,3.63 (2.98-4.28),261,85.29,5.42 (5.16-5.69)
astrocytes 8,1266.0,0.073,40.0,66,7,10.61,2.38 (1.16-3.60),59,89.39,3.34 (2.90-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,5,1.81,1.30 (0.70-1.89),271,98.19,3.60 (3.38-3.81)
oligodendrocytes 10,806.0,0.151,47.0,261,15,5.75,4.48 (3.48-5.48),246,94.25,4.36 (4.11-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.032,4.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,113.0,0.246,74.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,307.0,0.127,59.0,95,4,4.21,2.92 (NA-NA),91,95.79,4.87 (4.43-5.31)
astrocytes microglia 23,70.0,0.362,74.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,251.0,0.151,40.0,34,4,11.76,3.95 (2.15-5.74),30,88.24,5.50 (4.89-6.11)
oligodendrocytes 0,2078.0,0.092,11.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.074,13.0,6,1,16.67,6.20 (NA-NA),5,83.33,5.94 (4.78-7.11)
oligodendrocytes 2,407.0,0.139,31.0,122,5,4.1,1.04 (0.57-1.51),117,95.9,3.46 (3.07-3.85)
