tipo_celular,module_size,SETD4_MM,SETD4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,53,15.01,2.19 (1.86-2.52),300,84.99,4.29 (4.11-4.47)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.392,97.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72)
GABA like neurons 14,3052.0,0.111,26.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.037,6.0,276,41,14.86,2.21 (1.91-2.52),235,85.14,3.85 (3.62-4.09)
oligodendrocytes 10,2107.0,0.073,14.0,358,71,19.83,2.15 (1.86-2.45),287,80.17,4.36 (4.18-4.55)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,92.0,0.247,69.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.298,33.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.123,28.0,127,13,10.24,2.13 (1.69-2.57),114,89.76,3.23 (2.75-3.70)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.15,93.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.156,80.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52)
