tipo_celular,module_size,MTSS1_MM,MTSS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.494,99.0,32,4,12.5,5.57 (4.77-6.37),28,87.5,3.58 (2.76-4.39)
T cells 18,393.0,0.587,100.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.224,89.0,219,25,11.42,4.72 (4.13-5.32),194,88.58,5.30 (4.98-5.62)
GABA neurons expressing GLU receptors 22,459.0,0.148,46.0,165,16,9.7,3.02 (2.21-3.82),149,90.3,5.38 (5.03-5.72)
GLU like neurons 17,489.0,0.102,23.0,42,5,11.9,4.78 (3.69-5.87),37,88.1,6.23 (5.64-6.83)
da like neurons 11,197.0,0.301,79.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.151,68.0,297,2,0.67,4.68 (2.94-6.43),295,99.33,3.66 (3.46-3.87)
oligodendrocytes 20,403.0,0.058,23.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16)
GABA like neurons 14,1300.0,0.319,92.0,306,42,13.73,3.73 (3.18-4.28),264,86.27,5.41 (5.13-5.69)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.393,86.0,103,7,6.8,3.79 (3.09-4.50),96,93.2,5.72 (5.32-6.11)
oligodendrocytes 10,1277.0,0.175,82.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114.0,0.242,31.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.114,0.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.213,19.0,57,5,8.77,2.95 (2.08-3.83),52,91.23,2.63 (2.25-3.01)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.175,67.0,40,6,15.0,4.07 (3.80-4.35),34,85.0,6.12 (5.60-6.64)
microglia 1,346.0,0.24,85.0,43,3,6.98,4.94 (3.49-6.39),40,93.02,3.66 (3.14-4.19)
oligodendrocytes 3,1003.0,0.116,69.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.217,52.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
