tipo_celular,module_size,TRMU_MM,TRMU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.071,2.0,136,5,3.68,1.83 (1.27-2.40),131,96.32,3.27 (2.99-3.54)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.111,14.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.072,7.0,133,16,12.03,1.14 (0.83-1.46),117,87.97,3.60 (3.29-3.91)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.051,22.0,33,1,3.03,3.00 (NA-NA),32,96.97,2.72 (2.22-3.23)
GABA like neurons 14,2402.0,0.105,10.0,455,13,2.86,1.02 (0.63-1.40),442,97.14,4.48 (4.30-4.66)
astrocytes 8,603.0,0.039,10.0,89,7,7.87,1.40 (0.90-1.90),82,92.13,2.92 (2.56-3.29)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.055,7.0,358,20,5.59,1.27 (0.90-1.63),338,94.41,4.07 (3.89-4.25)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.029,3.0,105,10,9.52,1.48 (0.94-2.02),95,90.48,3.41 (3.07-3.76)
oligodendrocytes 16,158.0,0.247,79.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.399,73.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.126,19.0,104,15,14.42,1.52 (1.12-1.92),89,85.58,3.11 (2.82-3.41)
oligodendrocytes 0,2078.0,0.114,48.0,238,6,2.52,2.51 (1.16-3.86),232,97.48,3.67 (3.45-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.049,7.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.144,55.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
