tipo_celular,module_size,TAB3_MM,TAB3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.228,81.0,97,2,2.06,2.56 (1.98-3.14),95,97.94,3.07 (2.67-3.47)
T cells 18,610.0,0.173,67.0,98,18,18.37,2.50 (1.49-3.51),80,81.63,3.28 (2.98-3.57)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.149,70.0,353,27,7.65,2.61 (1.83-3.39),326,92.35,4.02 (3.84-4.21)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.098,27.0,101,5,4.95,5.46 (4.08-6.83),96,95.05,2.93 (2.59-3.27)
da like neurons 11,209.0,0.094,7.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.079,13.0,297,2,0.67,6.49 (NA-NA),295,99.33,3.66 (3.46-3.86)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.139,51.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,17,6.16,3.15 (2.10-4.19),259,93.84,3.57 (3.35-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.293,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.094,23.0,290,9,3.1,1.84 (1.34-2.33),281,96.9,3.89 (3.66-4.13)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
