tipo_celular,module_size,EEPD1_MM,EEPD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.149,40.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.125,24.0,58,3,5.17,1.76 (0.77-2.76),55,94.83,4.33 (3.92-4.74)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.185,54.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.095,19.0,91,1,1.1,1.95 (NA-NA),90,98.9,4.58 (4.05-5.10)
da like neurons 11,140.0,0.243,57.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.14,60.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.115,48.0,18,0,0.0,NA,18,100.0,1.88 (1.20-2.56)
GABA like neurons 14,2090.0,0.178,66.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.122,41.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.149,51.0,358,6,1.68,1.57 (0.69-2.45),352,98.32,3.91 (3.72-4.10)
connective tissue cells 21,183.0,0.227,33.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1401.0,0.05,17.0,96,2,2.08,1.89 (1.68-2.10),94,97.92,3.66 (3.20-4.11)
oligodendrocytes 16,71.0,0.181,46.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.352,59.0,120,6,5.0,1.46 (1.01-1.90),114,95.0,3.75 (3.46-4.05)
astrocytes 4,514.0,0.12,10.0,95,2,2.11,0.83 (0.75-0.91),93,97.89,3.44 (3.02-3.86)
oligodendrocytes 0,479.0,0.163,60.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,480.0,0.269,79.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,639.0,0.268,99.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,804.0,0.273,100.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
