tipo_celular,module_size,ILKAP_MM,ILKAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.252,74.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282.0,0.198,68.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.106,45.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,1069.0,0.125,21.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637.0,0.105,23.0,91,1,1.1,1.95 (NA-NA),90,98.9,4.58 (4.05-5.10)
da like neurons 11,408.0,0.116,28.0,25,1,4.0,1.95 (NA-NA),24,96.0,4.75 (3.40-6.11)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.138,58.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,221.0,0.393,90.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2090.0,0.151,48.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,218.0,0.046,18.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708.0,0.061,24.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,2107.0,0.106,32.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,139.0,0.258,23.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,418.0,0.057,31.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,81.0,0.122,12.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.276,29.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,721.0,0.173,86.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.145,50.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.123,67.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,1003.0,0.124,73.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,407.0,0.131,24.0,122,2,1.64,1.25 (-0.12-2.62),120,98.36,3.38 (2.99-3.76)
