tipo_celular,module_size,BMS1_MM,BMS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.168,60.0,71,5,7.04,1.47 (0.79-2.14),66,92.96,2.73 (2.29-3.16)
T cells 18,518.0,0.155,51.0,131,1,0.76,2.04 (NA-NA),130,99.24,3.08 (2.81-3.36)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,42,11.9,1.87 (1.54-2.21),311,88.1,4.26 (4.08-4.43)
GABA neurons expressing GLU receptors 22,823.0,0.114,13.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,300.0,0.192,54.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27)
da like neurons 11,82.0,0.102,8.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,67.0,0.165,40.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,412.0,0.096,15.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,403.0,0.186,72.0,18,11,61.11,1.30 (0.67-1.93),7,38.89,2.79 (1.59-3.99)
GABA like neurons 14,3052.0,0.106,22.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,33,11.96,2.03 (1.72-2.34),243,88.04,3.82 (3.59-4.05)
oligodendrocytes 10,735.0,0.101,53.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,110.0,0.291,62.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,85.0,0.274,81.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.087,36.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,86.0,0.302,43.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.102,25.0,238,8,3.36,2.10 (1.39-2.81),230,96.64,3.70 (3.48-3.92)
microglia 1,958.0,0.092,21.0,290,7,2.41,2.31 (1.81-2.82),283,97.59,3.86 (3.63-4.09)
oligodendrocytes 3,357.0,0.05,9.0,127,3,2.36,3.80 (2.84-4.76),124,97.64,3.10 (2.76-3.44)
oligodendrocytes 2,1630.0,0.152,71.0,154,4,2.6,5.22 (4.15-6.29),150,97.4,3.18 (2.92-3.45)
