tipo_celular,module_size,UXS1_MM,UXS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.074,3.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624.0,0.164,60.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.125,66.0,136,3,2.21,1.56 (1.00-2.13),133,97.79,3.25 (2.98-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,21,5.95,1.49 (1.07-1.92),332,94.05,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.264,96.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489.0,0.178,71.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,120.0,0.295,64.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.075,11.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.067,4.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.044,15.0,89,4,4.49,1.08 (0.85-1.31),85,95.51,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,19,6.88,2.04 (1.54-2.53),257,93.12,3.68 (3.46-3.91)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,100.0,0.233,35.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,367.0,0.055,13.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.126,65.0,122,16,13.11,1.90 (1.20-2.60),106,86.89,4.30 (3.90-4.70)
astrocytes microglia 23,72.0,0.263,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.159,76.0,104,12,11.54,1.30 (0.91-1.69),92,88.46,3.09 (2.80-3.37)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.102,36.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
