tipo_celular,module_size,ZSCAN30_MM,ZSCAN30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.103,29.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,29,8.22,1.79 (1.54-2.04),324,91.78,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,203.0,0.363,85.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,209.0,0.123,24.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.337,93.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.156,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.144,56.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,708.0,0.043,7.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.085,20.0,358,33,9.22,1.73 (1.49-1.96),325,90.78,4.16 (3.98-4.35)
connective tissue cells 21,84.0,0.406,96.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,338.0,0.284,98.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,151.0,0.254,87.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.41,95.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,1807.0,0.17,91.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45)
oligodendrocytes 0,2078.0,0.12,63.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.104,57.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,237.0,0.141,14.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
