tipo_celular,module_size,ATG14_MM,ATG14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.103,12.0,35,1,2.86,NA,34,97.14,3.74 (2.80-4.69)
T cells 18,610.0,0.091,10.0,98,42,42.86,2.63 (2.13-3.13),56,57.14,3.54 (3.18-3.91)
astrocytes 5,1656.0,0.1,26.0,136,14,10.29,3.30 (2.64-3.96),122,89.71,3.20 (2.90-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,87,24.65,3.03 (2.66-3.40),266,75.35,4.25 (4.05-4.44)
GABA neurons expressing GLU receptors 22,703.0,0.21,65.0,23,2,8.7,3.17 (NA-NA),21,91.3,2.04 (1.30-2.78)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,289.0,0.07,2.0,6,1,16.67,NA,5,83.33,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.176,53.0,36,12,33.33,2.11 (1.64-2.58),24,66.67,1.83 (1.37-2.29)
GABA like neurons 14,3052.0,0.162,70.0,125,9,7.2,4.49 (3.57-5.42),116,92.8,3.27 (2.93-3.60)
astrocytes 8,603.0,0.028,3.0,89,7,7.87,1.39 (0.90-1.89),82,92.13,2.93 (2.56-3.29)
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,70,25.36,3.17 (2.81-3.54),206,74.64,3.72 (3.45-3.99)
oligodendrocytes 10,2107.0,0.064,11.0,358,81,22.63,2.78 (2.41-3.14),277,77.37,4.30 (4.10-4.49)
connective tissue cells 21,112.0,0.176,20.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89)
astrocytes 15,208.0,0.048,26.0,4,1,25.0,3.56 (NA-NA),3,75.0,2.90 (-0.92-6.72)
oligodendrocytes 16,82.0,0.17,25.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.259,22.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.139,39.0,104,35,33.65,2.74 (2.26-3.22),69,66.35,2.93 (2.58-3.28)
oligodendrocytes 0,2078.0,0.113,47.0,238,29,12.18,3.77 (3.14-4.40),209,87.82,3.62 (3.38-3.85)
microglia 1,1615.0,0.083,13.0,161,53,32.92,2.56 (2.07-3.06),108,67.08,3.67 (3.38-3.95)
oligodendrocytes 3,639.0,0.098,52.0,15,9,60.0,2.99 (1.29-4.70),6,40.0,4.03 (1.62-6.44)
oligodendrocytes 2,1630.0,0.098,2.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
