tipo_celular,module_size,JADE2_MM,JADE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.137,40.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727.0,0.127,37.0,49,2,4.08,3.04 (2.03-4.05),47,95.92,2.40 (1.99-2.81)
astrocytes 5,1656.0,0.088,12.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,58,16.43,2.11 (1.84-2.38),295,83.57,4.37 (4.20-4.55)
GABA neurons expressing GLU receptors 22,487.0,0.121,13.0,73,5,6.85,1.47 (1.37-1.56),68,93.15,2.87 (2.46-3.27)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,108.0,0.094,9.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.042,1.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,295.0,0.148,32.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,2090.0,0.122,28.0,74,15,20.27,2.37 (2.04-2.69),59,79.73,3.12 (2.65-3.59)
astrocytes 8,727.0,0.064,20.0,29,4,13.79,3.84 (3.40-4.27),25,86.21,2.10 (1.60-2.60)
oligodendrocyte progenitor cells 12,3303.0,0.072,42.0,276,46,16.67,2.16 (1.89-2.43),230,83.33,3.93 (3.69-4.17)
oligodendrocytes 10,1277.0,0.023,2.0,27,1,3.7,6.33 (NA-NA),26,96.3,5.35 (4.44-6.26)
connective tissue cells 21,104.0,0.358,87.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.032,5.0,96,5,5.21,2.49 (1.47-3.52),91,94.79,3.69 (3.22-4.16)
oligodendrocytes 16,113.0,0.23,65.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.292,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.125,13.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,613.0,0.182,81.0,127,16,12.6,2.16 (1.81-2.50),111,87.4,3.27 (2.78-3.77)
microglia 1,1615.0,0.167,95.0,161,52,32.3,2.01 (1.74-2.28),109,67.7,4.07 (3.78-4.36)
oligodendrocytes 3,681.0,0.128,76.0,87,43,49.43,1.97 (1.73-2.21),44,50.57,3.30 (2.89-3.71)
oligodendrocytes 2,921.0,0.209,99.0,200,5,2.5,3.09 (2.10-4.08),195,97.5,3.64 (3.37-3.91)
