tipo_celular,module_size,DDIT4_MM,DDIT4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.27,83.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,506.0,0.242,66.0,225,9,4.0,3.05 (2.24-3.86),216,96.0,3.64 (3.38-3.90)
astrocytes 5,328.0,0.233,74.0,128,4,3.12,4.82 (3.73-5.91),124,96.88,3.51 (3.16-3.86)
oligodendrocyte progenitor cells 7,666.0,0.183,63.0,127,14,11.02,2.69 (2.04-3.35),113,88.98,4.05 (3.69-4.42)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.365,81.0,302,2,0.66,2.96 (-2.44-8.36),300,99.34,3.99 (3.77-4.22)
oligodendrocytes 20,253.0,0.227,75.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.221,92.0,89,1,1.12,2.80 (NA-NA),88,98.88,2.76 (2.40-3.12)
oligodendrocyte progenitor cells 12,1049.0,0.147,74.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,483.0,0.061,16.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.103,66.0,105,6,5.71,1.80 (0.88-2.71),99,94.29,3.31 (2.96-3.65)
oligodendrocytes 16,94.0,0.281,89.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.242,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208.0,0.364,89.0,173,4,2.31,3.77 (2.79-4.75),169,97.69,3.80 (3.49-4.11)
oligodendrocytes 0,613.0,0.177,78.0,127,2,1.57,2.77 (2.71-2.83),125,98.43,3.06 (2.63-3.48)
microglia 1,406.0,0.132,29.0,278,4,1.44,5.16 (4.05-6.27),274,98.56,4.34 (4.07-4.62)
oligodendrocytes 3,303.0,0.111,39.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.214,34.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
