tipo_celular,module_size,SH3GLB2_MM,SH3GLB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.085,9.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,19,5.38,1.61 (1.09-2.14),334,94.62,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,703.0,0.331,98.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,1316.0,0.108,37.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.114,21.0,410,3,0.73,1.90 (-0.74-4.54),407,99.27,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,77.0,0.234,93.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41)
endothelial cells 9,338.0,0.068,13.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,298.0,0.119,44.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402.0,0.295,65.0,455,14,3.08,1.54 (0.91-2.17),441,96.92,4.47 (4.29-4.65)
astrocytes 8,603.0,0.092,61.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.035,4.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806.0,0.079,17.0,261,2,0.77,2.27 (0.35-4.18),259,99.23,4.39 (4.14-4.63)
connective tissue cells 21,111.0,0.414,94.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1768.0,0.126,82.0,105,9,8.57,1.58 (1.07-2.09),96,91.43,3.38 (3.03-3.73)
oligodendrocytes 16,64.0,0.222,74.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,448.0,0.073,14.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,125.0,0.447,95.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807.0,0.167,88.0,104,10,9.62,1.79 (1.09-2.49),94,90.38,2.99 (2.69-3.28)
oligodendrocytes 0,479.0,0.084,2.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.078,44.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.083,2.0,175,3,1.71,2.25 (0.36-4.14),172,98.29,4.42 (4.06-4.77)
