tipo_celular,module_size,CYB5R3_MM,CYB5R3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.134,37.0,59,4,6.78,3.74 (3.16-4.31),55,93.22,3.05 (2.52-3.59)
astrocytes 5,228.0,0.078,2.0,266,36,13.53,2.38 (1.83-2.94),230,86.47,4.40 (4.20-4.60)
oligodendrocyte progenitor cells 7,628.0,0.088,3.0,164,18,10.98,3.76 (3.13-4.38),146,89.02,4.14 (3.77-4.50)
GABA neurons expressing GLU receptors 22,567.0,0.095,8.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.15,38.0,410,39,9.51,3.26 (2.77-3.75),371,90.49,4.36 (4.17-4.56)
GABA neurons expressing GABA receptors 13,90.0,0.203,79.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70)
endothelial cells 9,916.0,0.204,50.0,302,25,8.28,3.19 (2.59-3.79),277,91.72,4.06 (3.82-4.30)
oligodendrocytes 20,938.0,0.136,55.0,169,22,13.02,2.54 (1.97-3.11),147,86.98,3.61 (3.38-3.84)
GABA like neurons 14,2402.0,0.208,44.0,455,45,9.89,2.57 (2.06-3.07),410,90.11,4.57 (4.39-4.76)
astrocytes 8,603.0,0.069,44.0,89,3,3.37,1.12 (0.82-1.42),86,96.63,2.84 (2.48-3.20)
oligodendrocyte progenitor cells 12,1049.0,0.124,66.0,235,21,8.94,3.71 (3.27-4.15),214,91.06,3.84 (3.58-4.09)
oligodendrocytes 10,806.0,0.149,47.0,261,24,9.2,2.93 (2.55-3.31),237,90.8,4.55 (4.29-4.80)
connective tissue cells 21,90.0,0.299,58.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,208.0,0.088,45.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,123.0,0.187,28.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,300.0,0.107,25.0,159,4,2.52,4.03 (NA-NA),155,97.48,4.37 (4.06-4.68)
astrocytes microglia 23,125.0,0.363,75.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.13,25.0,104,19,18.27,2.12 (1.55-2.68),85,81.73,3.05 (2.74-3.36)
oligodendrocytes 0,546.0,0.096,9.0,252,46,18.25,2.56 (2.11-3.01),206,81.75,4.51 (4.26-4.77)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.06,14.0,345,26,7.54,3.25 (2.64-3.86),319,92.46,4.35 (4.14-4.57)
oligodendrocytes 2,526.0,0.198,28.0,213,7,3.29,4.06 (3.14-4.98),206,96.71,3.98 (3.69-4.26)
