tipo_celular,module_size,USP54_MM,USP54_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.439,90.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,423.0,0.309,95.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,436.0,0.109,35.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,567.0,0.378,89.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.334,86.0,91,1,1.1,1.95 (NA-NA),90,98.9,4.58 (4.05-5.10)
da like neurons 11,408.0,0.334,78.0,25,1,4.0,1.95 (NA-NA),24,96.0,4.75 (3.40-6.11)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.238,62.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,676.0,0.22,45.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.162,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.241,73.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,254.0,0.191,29.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,204.0,0.489,72.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.31,52.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,268.0,0.059,32.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,287.0,0.265,39.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.269,53.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,255.0,0.333,98.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,187.0,0.09,5.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.106,3.0,45,0,0.0,NA,45,100.0,4.32 (3.47-5.16)
oligodendrocytes 2,348.0,0.088,3.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
