tipo_celular,module_size,IPO8_MM,IPO8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.243,70.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,727.0,0.151,57.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.139,85.0,136,1,0.74,4.54 (NA-NA),135,99.26,3.20 (2.93-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.213,100.0,353,40,11.33,2.57 (2.08-3.06),313,88.67,4.08 (3.89-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.075,4.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.111,39.0,101,2,1.98,3.15 (1.13-5.18),99,98.02,3.05 (2.69-3.41)
da like neurons 11,265.0,0.231,66.0,4,2,50.0,2.74 (NA-NA),2,50.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.098,25.0,297,5,1.68,4.40 (4.17-4.63),292,98.32,3.66 (3.46-3.87)
oligodendrocytes 20,358.0,0.066,23.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.136,47.0,125,3,2.4,4.52 (4.52-4.52),122,97.6,3.33 (3.00-3.66)
astrocytes 8,260.0,0.115,45.0,4,3,75.0,1.10 (-0.55-2.76),1,25.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.105,79.0,276,29,10.51,2.82 (2.34-3.29),247,89.49,3.64 (3.41-3.88)
oligodendrocytes 10,2107.0,0.074,14.0,358,40,11.17,2.46 (1.95-2.98),318,88.83,4.07 (3.87-4.26)
connective tissue cells 21,111.0,0.268,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.028,4.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,64.0,0.157,31.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,47.0,0.43,87.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.17,91.0,104,14,13.46,2.42 (1.68-3.16),90,86.54,2.94 (2.63-3.24)
oligodendrocytes 0,2078.0,0.133,86.0,238,10,4.2,3.35 (2.25-4.44),228,95.8,3.65 (3.42-3.87)
microglia 1,1615.0,0.105,44.0,161,20,12.42,1.77 (1.18-2.36),141,87.58,3.53 (3.25-3.80)
oligodendrocytes 3,854.0,0.094,56.0,76,4,5.26,3.35 (1.29-5.42),72,94.74,2.74 (2.42-3.07)
oligodendrocytes 2,1630.0,0.162,87.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
