tipo_celular,module_size,MEF2C_MM,MEF2C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.244,81.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.103,16.0,166,47,28.31,2.48 (2.14-2.81),119,71.69,3.84 (3.54-4.14)
oligodendrocyte progenitor cells 7,666.0,0.196,69.0,127,27,21.26,3.07 (2.59-3.56),100,78.74,4.18 (3.77-4.59)
GABA neurons expressing GLU receptors 22,703.0,0.289,94.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.258,80.0,141,23,16.31,3.04 (2.39-3.69),118,83.69,2.95 (2.69-3.21)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.063,3.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.128,63.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.123,91.0,276,58,21.01,2.37 (2.02-2.72),218,78.99,3.98 (3.74-4.21)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.129,83.0,105,24,22.86,1.61 (1.30-1.92),81,77.14,3.68 (3.32-4.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.431,88.0,99,29,29.29,4.44 (3.98-4.90),70,70.71,4.24 (3.81-4.67)
astrocytes 4,752.0,0.118,9.0,96,21,21.88,3.31 (2.70-3.92),75,78.12,3.28 (2.89-3.68)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.239,76.0,144,40,27.78,4.53 (4.08-4.99),104,72.22,4.43 (4.04-4.82)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
