tipo_celular,module_size,PMP2_MM,PMP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.197,61.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,666.0,0.147,33.0,127,7,5.51,2.44 (1.72-3.17),120,94.49,3.88 (3.54-4.23)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.127,37.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,938.0,0.255,90.0,169,8,4.73,2.99 (1.33-4.64),161,95.27,3.50 (3.27-3.72)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.125,75.0,89,1,1.12,1.23 (NA-NA),88,98.88,2.78 (2.43-3.14)
oligodendrocyte progenitor cells 12,708.0,0.137,61.0,32,7,21.88,1.30 (0.19-2.42),25,78.12,3.89 (3.04-4.75)
oligodendrocytes 10,1277.0,0.071,24.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.15,91.0,105,5,4.76,1.68 (0.69-2.66),100,95.24,3.30 (2.95-3.64)
oligodendrocytes 16,86.0,0.226,76.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,89.0,0.255,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.106,3.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,187.0,0.263,84.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.132,67.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,528.0,0.283,82.0,175,9,5.14,3.11 (2.21-4.01),166,94.86,4.44 (4.08-4.80)
